code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,TMA1,TMA2,TMA3,TMA4,TMA5,TMA6
DDD,2013J,27935,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,TRUE,Fail,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,28046,F,Yorkshire Region,HE Qualification,10-20,35-55,0,70,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,29411,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,30549,M,South East Region,A Level or Equivalent,0-10%,35-55,2,60,FALSE,Fail,Fail,Fail,Fail,Fail,Fail,Fail
DDD,2013J,31173,M,North Western Region,A Level or Equivalent,40-50%,35-55,1,60,FALSE,Fail,Pass,Pass,Pass,Fail,Pass,Pass
DDD,2013J,33930,F,South West Region,A Level or Equivalent,20-30%,0-35,0,90,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,34653,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,FALSE,Fail,Fail,Pass,Pass,Fail,Fail,Fail
DDD,2013J,39411,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,FALSE,Fail,Pass,Fail,Fail,Fail,Fail,Fail
DDD,2013J,40184,M,Wales,HE Qualification,30-40%,55<=,0,60,FALSE,Distinction,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,40419,M,East Midlands Region,Lower Than A Level,20-30%,35-55,1,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,40563,F,South East Region,A Level or Equivalent,0-10%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,42818,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,TRUE,Fail,Fail,Fail,Fail,Fail,Fail,Fail
DDD,2013J,48152,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Fail,Pass,Pass
DDD,2013J,50610,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,1,70,TRUE,Fail,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,51163,M,London Region,HE Qualification,20-30%,35-55,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,57227,F,North Western Region,Lower Than A Level,60-70%,0-35,1,160,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,57818,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,59275,M,Scotland,HE Qualification,40-50%,0-35,0,60,FALSE,Fail,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,59370,M,Ireland,A Level or Equivalent,0-10%,35-55,0,180,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,63566,M,South East Region,HE Qualification,70-80%,55<=,0,120,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,63856,M,Scotland,A Level or Equivalent,60-70%,35-55,1,60,FALSE,Pass,Pass,Pass,Pass,Pass,Fail,Pass
DDD,2013J,66577,F,North Western Region,HE Qualification,10-20,0-35,1,60,FALSE,Fail,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,67471,F,London Region,Lower Than A Level,20-30%,0-35,2,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,67505,F,North Region,A Level or Equivalent,NA,35-55,1,60,FALSE,Fail,Pass,Pass,Fail,Pass,Fail,Fail
DDD,2013J,68376,M,Yorkshire Region,HE Qualification,90-100%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,71209,M,South East Region,Lower Than A Level,50-60%,35-55,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,74502,F,Wales,Lower Than A Level,60-70%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
