code_module,code_presentation,id_student,week_-4,week_-3,week_-2,week_-1,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37
DDD,2014J,33681,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2014J,51033,4,25,63,139,29,20,50,54,12,22,19,36,53,0,31,42,0,94,0,4,20,53,0,17,6,12,3,20,0,6,0,22,0,1,5,0,0,9,42,0,0,0
DDD,2014J,51153,80,1,11,0,104,59,117,176,62,58,106,12,21,55,21,12,18,11,4,10,18,2,1,12,34,0,4,3,8,0,2,3,70,0,0,47,26,11,0,0,0,0
DDD,2014J,51955,12,7,8,9,22,13,14,16,0,33,44,17,12,25,10,4,15,18,0,12,13,13,7,5,16,12,7,0,0,0,0,10,9,20,0,0,0,0,0,0,1,1
DDD,2014J,54810,4,0,0,2,0,0,1,0,2,1,0,0,1,0,0,9,0,1,11,10,23,3,1,5,14,90,3,0,6,12,1,10,58,17,1,0,0,7,148,0,0,0
DDD,2014J,71676,47,9,8,7,71,20,19,15,22,38,89,9,28,18,1,38,33,0,9,42,7,0,12,40,52,16,48,18,0,0,12,31,22,66,0,115,10,59,43,0,3,0
DDD,2014J,75427,2,0,6,78,44,34,92,48,16,70,26,33,33,31,1,0,13,24,73,31,19,11,30,17,43,34,7,9,17,23,3,37,27,5,4,12,21,66,28,0,3,2
DDD,2014J,76081,44,10,2,51,12,0,12,22,35,15,27,2,3,6,0,0,3,27,3,13,9,52,9,21,7,25,1,25,21,25,15,21,14,22,0,62,0,57,3,2,0,2
DDD,2014J,80775,11,0,6,0,9,63,47,31,36,10,12,28,36,17,0,27,5,1,8,43,1,20,29,0,64,9,14,45,1,0,41,27,9,4,10,0,11,7,16,0,0,0
DDD,2014J,88439,75,1,27,0,63,7,27,16,0,2,28,0,4,39,5,0,0,1,0,43,4,2,0,9,150,34,0,0,24,11,5,73,29,2,0,0,0,25,103,0,0,0
DDD,2014J,100561,7,1,0,19,10,0,85,12,20,75,27,57,53,15,3,1,6,13,56,24,33,29,41,14,39,37,15,27,8,9,16,21,18,13,6,3,47,14,76,0,0,0
DDD,2014J,104772,157,18,0,13,17,10,0,6,1,0,0,0,6,0,0,0,8,27,2,4,0,14,0,11,32,11,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DDD,2014J,106553,20,6,1,0,23,0,16,19,28,16,22,11,22,12,0,0,18,0,0,42,31,11,10,0,59,16,14,30,0,9,23,48,0,4,1,0,0,0,26,9,1,0
DDD,2014J,110524,1,14,8,43,66,36,23,24,23,23,20,0,48,14,2,24,0,18,35,12,17,0,26,27,33,8,33,19,22,39,13,7,65,36,19,18,18,34,6,2,0,0
DDD,2014J,111926,4,0,10,24,103,101,88,61,13,14,11,23,0,7,0,4,4,0,20,4,48,4,0,0,1,0,0,0,7,4,14,0,0,0,0,0,0,8,1,7,1,0
DDD,2014J,123183,62,138,64,58,72,133,67,84,89,62,74,72,90,144,17,2,33,40,143,69,167,82,48,52,54,79,20,121,56,11,126,30,92,104,85,53,80,83,35,1,0,1
